step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.010258,0.000000,0.000000,0.010258,2.923822,0.360061,60
1,0.010231,0.000000,0.000000,0.010231,2.764488,0.374096,60
2,0.010204,0.000000,0.000000,0.010204,2.763948,0.374053,60
3,0.010185,0.000000,0.000000,0.010185,2.763409,0.374009,60
4,0.010162,0.000000,0.000000,0.010162,2.762871,0.373965,60
5,0.010139,0.000000,0.000000,0.010139,2.762335,0.373923,60
6,0.010117,0.000000,0.000000,0.010117,2.761799,0.373879,60
7,0.010101,0.000000,0.000000,0.010101,2.761265,0.373837,60
8,0.010078,0.000000,0.000000,0.010078,2.760731,0.373794,60
9,0.010056,0.000000,0.000000,0.010056,2.760199,0.373751,60
10,0.010033,0.000000,0.000000,0.010033,2.759668,0.373708,60
11,0.010014,0.000000,0.000000,0.010014,2.759138,0.373665,60
12,0.009998,0.000000,0.000000,0.009998,2.758609,0.373622,60
13,0.009975,0.000000,0.000000,0.009975,2.758080,0.373580,60
14,0.009956,0.000000,0.000000,0.009956,2.757553,0.373537,60
15,0.009937,0.000000,0.000000,0.009937,2.757027,0.373495,60
16,0.009911,0.000000,0.000000,0.009911,2.756503,0.373452,60
17,0.009892,0.000000,0.000000,0.009892,2.755979,0.373409,60
18,0.009872,0.000000,0.000000,0.009872,2.755457,0.373368,60
19,0.009850,0.000000,0.000000,0.009850,2.754936,0.373326,60
20,0.009838,0.000000,0.000000,0.009838,2.754415,0.373283,60
21,0.009815,0.000000,0.000000,0.009815,2.753896,0.373242,60
22,0.009796,0.000000,0.000000,0.009796,2.753378,0.373200,60
23,0.009773,0.000000,0.000000,0.009773,2.752859,0.373157,60
24,0.009758,0.000000,0.000000,0.009758,2.752344,0.373116,60
25,0.009735,0.000000,0.000000,0.009735,2.751829,0.373074,60
26,0.009712,0.000000,0.000000,0.009712,2.751315,0.373032,60
27,0.009697,0.000000,0.000000,0.009697,2.750801,0.372991,60
28,0.009678,0.000000,0.000000,0.009678,2.750289,0.372950,60
29,0.009655,0.000000,0.000000,0.009655,2.749779,0.372907,60
30,0.009636,0.000000,0.000000,0.009636,2.749268,0.372867,60
31,0.009621,0.000000,0.000000,0.009621,2.748759,0.372825,60
32,0.009598,0.000000,0.000000,0.009598,2.748251,0.372784,60
33,0.009583,0.000000,0.000000,0.009583,2.747744,0.372742,60
34,0.009563,0.000000,0.000000,0.009563,2.747238,0.372702,60
35,0.009544,0.000000,0.000000,0.009544,2.746733,0.372661,60
36,0.009529,0.000000,0.000000,0.009529,2.746230,0.372620,60
37,0.009506,0.000000,0.000000,0.009506,2.745726,0.372579,60
38,0.009487,0.000000,0.000000,0.009487,2.745224,0.372538,60
39,0.009468,0.000000,0.000000,0.009468,2.744723,0.372498,60
40,0.009449,0.000000,0.000000,0.009449,2.744223,0.372457,60
41,0.009434,0.000000,0.000000,0.009434,2.743724,0.372416,60
42,0.009415,0.000000,0.000000,0.009415,2.743226,0.372375,60
43,0.009392,0.000000,0.000000,0.009392,2.742728,0.372335,60
44,0.009377,0.000000,0.000000,0.009377,2.742233,0.372295,60
45,0.009357,0.000000,0.000000,0.009357,2.741738,0.372254,60
46,0.009338,0.000000,0.000000,0.009338,2.741243,0.372214,60
47,0.009323,0.000000,0.000000,0.009323,2.740751,0.372174,60
48,0.009300,0.000000,0.000000,0.009300,2.740258,0.372134,60
49,0.009285,0.000000,0.000000,0.009285,2.739766,0.372093,60
50,0.009266,0.000000,0.000000,0.009266,2.739276,0.372053,60
51,0.009216,0.000000,0.000000,0.009216,2.600689,0.349475,60
52,0.009205,0.000000,0.000000,0.009205,2.600208,0.349443,60
53,0.009186,0.000000,0.000000,0.009186,2.599727,0.349409,60
54,0.009167,0.000000,0.000000,0.009167,2.599247,0.349377,60
55,0.009148,0.000000,0.000000,0.009148,2.598768,0.349344,60
56,0.009136,0.000000,0.000000,0.009136,2.598290,0.349310,60
57,0.009117,0.000000,0.000000,0.009117,2.597813,0.349278,60
58,0.009098,0.000000,0.000000,0.009098,2.597335,0.349245,60
59,0.009079,0.000000,0.000000,0.009079,2.596860,0.349213,60
60,0.009064,0.000000,0.000000,0.009064,2.596386,0.349180,60
61,0.009048,0.000000,0.000000,0.009048,2.595912,0.349148,60
62,0.009029,0.000000,0.000000,0.009029,2.595440,0.349116,60
63,0.009010,0.000000,0.000000,0.009010,2.594968,0.349083,60
64,0.008995,0.000000,0.000000,0.008995,2.594497,0.349050,60
65,0.008980,0.000000,0.000000,0.008980,2.594027,0.349018,60
66,0.008965,0.000000,0.000000,0.008965,2.593558,0.348986,60
67,0.008942,0.000000,0.000000,0.008942,2.593090,0.348954,60
68,0.008926,0.000000,0.000000,0.008926,2.592622,0.348922,60
69,0.008911,0.000000,0.000000,0.008911,2.592156,0.348889,60
70,0.008896,0.000000,0.000000,0.008896,2.591690,0.348857,60
71,0.008877,0.000000,0.000000,0.008877,2.591226,0.348826,60
72,0.008858,0.000000,0.000000,0.008858,2.590762,0.348794,60
73,0.008842,0.000000,0.000000,0.008842,2.590299,0.348762,60
74,0.008827,0.000000,0.000000,0.008827,2.589837,0.348731,60
75,0.008808,0.000000,0.000000,0.008808,2.589376,0.348699,60
76,0.008797,0.000000,0.000000,0.008797,2.588916,0.348666,60
77,0.008778,0.000000,0.000000,0.008778,2.588456,0.348635,60
78,0.008762,0.000000,0.000000,0.008762,2.587997,0.348604,60
79,0.008751,0.000000,0.000000,0.008751,2.587540,0.348572,60
80,0.008728,0.000000,0.000000,0.008728,2.587083,0.348540,60
81,0.008717,0.000000,0.000000,0.008717,2.586627,0.348509,60
82,0.008694,0.000000,0.000000,0.008694,2.586172,0.348477,60
83,0.008678,0.000000,0.000000,0.008678,2.585717,0.348447,60
84,0.008667,0.000000,0.000000,0.008667,2.585264,0.348415,60
85,0.008648,0.000000,0.000000,0.008648,2.584811,0.348384,60
86,0.008636,0.000000,0.000000,0.008636,2.584360,0.348353,60
87,0.008614,0.000000,0.000000,0.008614,2.583909,0.348322,60
88,0.008602,0.000000,0.000000,0.008602,2.583458,0.348290,60
89,0.008583,0.000000,0.000000,0.008583,2.583008,0.348260,60
90,0.008568,0.000000,0.000000,0.008568,2.582560,0.348229,60
91,0.008556,0.000000,0.000000,0.008556,2.582113,0.348197,60
92,0.008537,0.000000,0.000000,0.008537,2.581666,0.348168,60
93,0.008522,0.000000,0.000000,0.008522,2.581220,0.348137,60
94,0.008507,0.000000,0.000000,0.008507,2.580774,0.348106,60
95,0.008492,0.000000,0.000000,0.008492,2.580330,0.348075,60
96,0.008476,0.000000,0.000000,0.008476,2.579886,0.348044,60
97,0.008465,0.000000,0.000000,0.008465,2.579444,0.348014,60
98,0.008446,0.000000,0.000000,0.008446,2.579002,0.347983,60
99,0.008430,0.000000,0.000000,0.008430,2.578560,0.347953,60
100,0.008415,0.000000,0.000000,0.008415,2.578120,0.347922,60
101,0.008400,0.000000,0.000000,0.008400,2.493463,0.355237,60
102,0.008385,0.000000,0.000000,0.008385,2.493027,0.355202,60
103,0.008366,0.000000,0.000000,0.008366,2.492592,0.355170,60
104,0.008350,0.000000,0.000000,0.008350,2.492158,0.355137,60
105,0.008339,0.000000,0.000000,0.008339,2.491724,0.355101,60
106,0.008320,0.000000,0.000000,0.008320,2.491292,0.355068,60
107,0.008305,0.000000,0.000000,0.008305,2.490860,0.355034,60
108,0.008293,0.000000,0.000000,0.008293,2.490428,0.355001,60
109,0.008270,0.000000,0.000000,0.008270,2.489998,0.354968,60
110,0.008259,0.000000,0.000000,0.008259,2.489568,0.354934,60
111,0.008247,0.000000,0.000000,0.008247,2.489140,0.354901,60
112,0.008236,0.000000,0.000000,0.008236,2.488712,0.354868,60
113,0.008217,0.000000,0.000000,0.008217,2.488284,0.354834,60
114,0.008202,0.000000,0.000000,0.008202,2.487858,0.354801,60
115,0.008190,0.000000,0.000000,0.008190,2.487432,0.354768,60
116,0.008179,0.000000,0.000000,0.008179,2.487006,0.354735,60
117,0.008163,0.000000,0.000000,0.008163,2.486583,0.354702,60
118,0.008148,0.000000,0.000000,0.008148,2.486159,0.354668,60
119,0.008129,0.000000,0.000000,0.008129,2.485736,0.354636,60
120,0.008118,0.000000,0.000000,0.008118,2.485314,0.354603,60
121,0.008102,0.000000,0.000000,0.008102,2.484892,0.354570,60
122,0.008091,0.000000,0.000000,0.008091,2.484472,0.354537,60
123,0.008072,0.000000,0.000000,0.008072,2.484052,0.354504,60
124,0.008057,0.000000,0.000000,0.008057,2.483634,0.354471,60
125,0.008045,0.000000,0.000000,0.008045,2.483215,0.354439,60
126,0.008034,0.000000,0.000000,0.008034,2.482797,0.354406,60
127,0.008018,0.000000,0.000000,0.008018,2.482380,0.354373,60
128,0.008003,0.000000,0.000000,0.008003,2.481964,0.354341,60
