step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.000521,0.000000,0.000000,0.000521,0.000000,0.184354,0
1,0.000521,0.000000,0.000000,0.000521,0.000000,0.184342,0
2,0.000519,0.000000,0.000000,0.000519,0.000000,0.184328,0
3,0.000519,0.000000,0.000000,0.000519,0.000000,0.184316,0
4,0.000519,0.000000,0.000000,0.000519,0.000000,0.184303,0
5,0.000519,0.000000,0.000000,0.000519,0.000000,0.184290,0
6,0.000517,0.000000,0.000000,0.000517,0.000000,0.184277,0
7,0.000517,0.000000,0.000000,0.000517,0.000000,0.184264,0
8,0.000517,0.000000,0.000000,0.000517,0.000000,0.184251,0
9,0.000515,0.000000,0.000000,0.000515,0.000000,0.184238,0
10,0.000515,0.000000,0.000000,0.000515,0.000000,0.184226,0
11,0.000515,0.000000,0.000000,0.000515,0.000000,0.184213,0
12,0.000515,0.000000,0.000000,0.000515,0.000000,0.184200,0
13,0.000513,0.000000,0.000000,0.000513,0.000000,0.184187,0
14,0.000513,0.000000,0.000000,0.000513,0.000000,0.184174,0
15,0.000512,0.000000,0.000000,0.000512,0.000000,0.184162,0
16,0.000512,0.000000,0.000000,0.000512,0.000000,0.184149,0
17,0.000511,0.000000,0.000000,0.000511,0.000000,0.184136,0
18,0.000511,0.000000,0.000000,0.000511,0.000000,0.184123,0
19,0.000510,0.000000,0.000000,0.000510,0.000000,0.184111,0
20,0.000509,0.000000,0.000000,0.000509,0.000000,0.184098,0
21,0.000509,0.000000,0.000000,0.000509,0.000000,0.184086,0
22,0.000508,0.000000,0.000000,0.000508,0.000000,0.184073,0
23,0.000508,0.000000,0.000000,0.000508,0.000000,0.184060,0
24,0.000507,0.000000,0.000000,0.000507,0.000000,0.184048,0
25,0.000507,0.000000,0.000000,0.000507,0.000000,0.184035,0
26,0.000506,0.000000,0.000000,0.000506,0.000000,0.184022,0
27,0.000505,0.000000,0.000000,0.000505,0.000000,0.184010,0
28,0.000505,0.000000,0.000000,0.000505,0.000000,0.183997,0
29,0.000505,0.000000,0.000000,0.000505,0.000000,0.183985,0
30,0.000504,0.000000,0.000000,0.000504,0.000000,0.183972,0
31,0.000504,0.000000,0.000000,0.000504,0.000000,0.183960,0
32,0.000503,0.000000,0.000000,0.000503,0.000000,0.183947,0
33,0.000503,0.000000,0.000000,0.000503,0.000000,0.183935,0
34,0.000502,0.000000,0.000000,0.000502,0.000000,0.183922,0
35,0.000502,0.000000,0.000000,0.000502,0.000000,0.183910,0
36,0.000501,0.000000,0.000000,0.000501,0.000000,0.183897,0
37,0.000500,0.000000,0.000000,0.000500,0.000000,0.183885,0
