step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.322963,0.000000,0.000000,0.013264,3.096995,0.416726,60
1,0.301830,0.000000,0.000000,0.011314,2.905153,0.427349,60
2,0.300524,0.000000,0.000000,0.011230,2.892940,0.426750,60
3,0.299232,0.000000,0.000000,0.011154,2.880781,0.426151,60
4,0.297942,0.000000,0.000000,0.011074,2.868675,0.425554,60
5,0.296656,0.000000,0.000000,0.010994,2.856622,0.424958,60
6,0.295380,0.000000,0.000000,0.010918,2.844621,0.424364,60
7,0.294109,0.000000,0.000000,0.010841,2.832674,0.423771,60
8,0.292843,0.000000,0.000000,0.010765,2.820779,0.423179,60
9,0.291582,0.000000,0.000000,0.010689,2.808935,0.422589,60
10,0.290327,0.000000,0.000000,0.010612,2.797143,0.422001,60
11,0.289077,0.000000,0.000000,0.010536,2.785403,0.421413,60
12,0.287835,0.000000,0.000000,0.010464,2.773714,0.420827,60
13,0.286599,0.000000,0.000000,0.010391,2.762077,0.420243,60
14,0.285368,0.000000,0.000000,0.010319,2.750490,0.419659,60
15,0.284142,0.000000,0.000000,0.010246,2.738954,0.419077,60
16,0.282917,0.000000,0.000000,0.010170,2.727468,0.418496,60
17,0.281708,0.000000,0.000000,0.010105,2.716032,0.417917,60
18,0.280497,0.000000,0.000000,0.010033,2.704646,0.417339,60
19,0.279303,0.000000,0.000000,0.009972,2.693309,0.416762,60
20,0.278097,0.000000,0.000000,0.009895,2.682021,0.416187,60
21,0.276905,0.000000,0.000000,0.009827,2.670784,0.415613,60
22,0.275721,0.000000,0.000000,0.009762,2.659595,0.415041,60
23,0.274542,0.000000,0.000000,0.009697,2.648454,0.414469,60
24,0.273365,0.000000,0.000000,0.009628,2.637362,0.413900,60
25,0.272191,0.000000,0.000000,0.009560,2.626318,0.413331,60
26,0.271027,0.000000,0.000000,0.009495,2.615323,0.412763,60
27,0.269867,0.000000,0.000000,0.009430,2.604375,0.412197,60
28,0.268713,0.000000,0.000000,0.009365,2.593474,0.411632,60
29,0.267562,0.000000,0.000000,0.009300,2.582621,0.411069,60
30,0.266421,0.000000,0.000000,0.009239,2.571815,0.410508,60
31,0.265280,0.000000,0.000000,0.009174,2.561056,0.409946,60
32,0.264144,0.000000,0.000000,0.009109,2.550344,0.409386,60
33,0.263016,0.000000,0.000000,0.009048,2.539678,0.408828,60
34,0.261893,0.000000,0.000000,0.008987,2.529058,0.408272,60
35,0.260775,0.000000,0.000000,0.008926,2.518484,0.407715,60
36,0.259661,0.000000,0.000000,0.008865,2.507956,0.407160,60
