step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.005068,0.000000,0.000000,0.001829,0.032388,0.238006,57
1,0.002501,0.000000,0.000000,0.001820,0.006818,0.252755,57
2,0.002494,0.000000,0.000000,0.001816,0.006778,0.252652,57
3,0.002484,0.000000,0.000000,0.001810,0.006739,0.252551,57
4,0.002474,0.000000,0.000000,0.001804,0.006700,0.252450,57
5,0.002467,0.000000,0.000000,0.001801,0.006661,0.252349,57
6,0.002459,0.000000,0.000000,0.001797,0.006622,0.252248,57
7,0.002451,0.000000,0.000000,0.001793,0.006584,0.252148,57
8,0.002442,0.000000,0.000000,0.001787,0.006546,0.252048,57
9,0.002432,0.000000,0.000000,0.001781,0.006508,0.251948,57
10,0.002425,0.000000,0.000000,0.001778,0.006470,0.251849,57
11,0.002417,0.000000,0.000000,0.001774,0.006433,0.251749,57
12,0.002408,0.000000,0.000000,0.001768,0.006395,0.251650,57
13,0.002398,0.000000,0.000000,0.001762,0.006358,0.251551,57
14,0.002391,0.000000,0.000000,0.001759,0.006321,0.251453,57
15,0.002383,0.000000,0.000000,0.001755,0.006284,0.251355,57
16,0.002376,0.000000,0.000000,0.001751,0.006248,0.251257,57
17,0.002368,0.000000,0.000000,0.001747,0.006212,0.251160,57
18,0.002357,0.000000,0.000000,0.001740,0.006175,0.251063,57
19,0.002350,0.000000,0.000000,0.001736,0.006140,0.250966,57
20,0.002342,0.000000,0.000000,0.001732,0.006104,0.250869,57
21,0.002335,0.000000,0.000000,0.001728,0.006068,0.250773,57
22,0.002328,0.000000,0.000000,0.001724,0.006033,0.250677,57
23,0.002318,0.000000,0.000000,0.001719,0.005998,0.250581,57
24,0.002311,0.000000,0.000000,0.001715,0.005963,0.250485,57
25,0.002304,0.000000,0.000000,0.001711,0.005928,0.250390,57
26,0.002295,0.000000,0.000000,0.001705,0.005894,0.250295,57
27,0.002287,0.000000,0.000000,0.001701,0.005860,0.250200,57
28,0.002280,0.000000,0.000000,0.001698,0.005825,0.250106,57
29,0.002273,0.000000,0.000000,0.001694,0.005792,0.250012,57
30,0.002264,0.000000,0.000000,0.001688,0.005758,0.249918,57
31,0.002255,0.000000,0.000000,0.001682,0.005724,0.249824,57
32,0.002249,0.000000,0.000000,0.001680,0.005691,0.249730,57
33,0.002242,0.000000,0.000000,0.001677,0.005658,0.249637,57
34,0.002235,0.000000,0.000000,0.001673,0.005625,0.249544,57
35,0.002226,0.000000,0.000000,0.001667,0.005592,0.249452,57
36,0.002219,0.000000,0.000000,0.001663,0.005559,0.249359,57
37,0.002212,0.000000,0.000000,0.001659,0.005527,0.249267,57
38,0.002205,0.000000,0.000000,0.001656,0.005495,0.249175,57
39,0.002198,0.000000,0.000000,0.001652,0.005463,0.249084,57
40,0.002191,0.000000,0.000000,0.001648,0.005431,0.248992,57
41,0.002184,0.000000,0.000000,0.001644,0.005399,0.248901,57
42,0.002177,0.000000,0.000000,0.001640,0.005367,0.248810,57
43,0.002170,0.000000,0.000000,0.001637,0.005336,0.248720,57
44,0.002163,0.000000,0.000000,0.001633,0.005305,0.248630,57
45,0.002154,0.000000,0.000000,0.001627,0.005274,0.248540,57
46,0.002146,0.000000,0.000000,0.001621,0.005243,0.248450,57
47,0.002141,0.000000,0.000000,0.001619,0.005212,0.248360,57
48,0.002132,0.000000,0.000000,0.001614,0.005182,0.248271,57
49,0.002125,0.000000,0.000000,0.001610,0.005152,0.248182,57
50,0.002120,0.000000,0.000000,0.001608,0.005122,0.248093,57
51,0.000769,0.000000,0.000000,0.000694,0.000749,0.210212,57
52,0.000769,0.000000,0.000000,0.000694,0.000744,0.210190,57
53,0.000764,0.000000,0.000000,0.000690,0.000740,0.210167,57
54,0.000764,0.000000,0.000000,0.000690,0.000735,0.210145,57
55,0.000764,0.000000,0.000000,0.000690,0.000730,0.210122,57
56,0.000761,0.000000,0.000000,0.000689,0.000726,0.210100,57
57,0.000761,0.000000,0.000000,0.000689,0.000721,0.210077,57
58,0.000758,0.000000,0.000000,0.000687,0.000717,0.210055,57
59,0.000758,0.000000,0.000000,0.000687,0.000712,0.210033,57
60,0.000757,0.000000,0.000000,0.000687,0.000708,0.210010,57
61,0.000755,0.000000,0.000000,0.000685,0.000704,0.209989,57
