step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.000521,0.000000,0.000000,0.000521,0.000000,0.184354,27
1,0.000463,0.000000,0.000000,0.000463,0.000000,0.181712,27
2,0.000462,0.000000,0.000000,0.000462,0.000000,0.181695,27
3,0.000462,0.000000,0.000000,0.000462,0.000000,0.181677,27
4,0.000462,0.000000,0.000000,0.000462,0.000000,0.181659,27
5,0.000461,0.000000,0.000000,0.000461,0.000000,0.181641,27
6,0.000460,0.000000,0.000000,0.000460,0.000000,0.181624,27
7,0.000460,0.000000,0.000000,0.000460,0.000000,0.181606,27
8,0.000459,0.000000,0.000000,0.000459,0.000000,0.181588,27
9,0.000458,0.000000,0.000000,0.000458,0.000000,0.181571,27
10,0.000458,0.000000,0.000000,0.000458,0.000000,0.181553,27
11,0.000458,0.000000,0.000000,0.000458,0.000000,0.181535,27
12,0.000458,0.000000,0.000000,0.000458,0.000000,0.181518,27
13,0.000456,0.000000,0.000000,0.000456,0.000000,0.181500,27
14,0.000456,0.000000,0.000000,0.000456,0.000000,0.181483,27
15,0.000455,0.000000,0.000000,0.000455,0.000000,0.181465,27
16,0.000455,0.000000,0.000000,0.000455,0.000000,0.181447,27
17,0.000454,0.000000,0.000000,0.000454,0.000000,0.181430,27
18,0.000454,0.000000,0.000000,0.000454,0.000000,0.181412,27
19,0.000453,0.000000,0.000000,0.000453,0.000000,0.181395,27
20,0.000453,0.000000,0.000000,0.000453,0.000000,0.181377,27
21,0.000452,0.000000,0.000000,0.000452,0.000000,0.181360,27
22,0.000452,0.000000,0.000000,0.000452,0.000000,0.181342,27
23,0.000452,0.000000,0.000000,0.000452,0.000000,0.181325,27
24,0.000451,0.000000,0.000000,0.000451,0.000000,0.181308,27
25,0.000450,0.000000,0.000000,0.000450,0.000000,0.181290,27
26,0.000450,0.000000,0.000000,0.000450,0.000000,0.181273,27
27,0.000449,0.000000,0.000000,0.000449,0.000000,0.181256,27
28,0.000449,0.000000,0.000000,0.000449,0.000000,0.181238,27
29,0.000448,0.000000,0.000000,0.000448,0.000000,0.181221,27
30,0.000448,0.000000,0.000000,0.000448,0.000000,0.181203,27
31,0.000447,0.000000,0.000000,0.000447,0.000000,0.181186,27
32,0.000446,0.000000,0.000000,0.000446,0.000000,0.181169,27
33,0.000446,0.000000,0.000000,0.000446,0.000000,0.181152,27
34,0.000446,0.000000,0.000000,0.000446,0.000000,0.181134,27
35,0.000444,0.000000,0.000000,0.000444,0.000000,0.181117,27
36,0.000444,0.000000,0.000000,0.000444,0.000000,0.181100,27
37,0.000444,0.000000,0.000000,0.000444,0.000000,0.181082,27
38,0.000444,0.000000,0.000000,0.000444,0.000000,0.181065,27
39,0.000443,0.000000,0.000000,0.000443,0.000000,0.181048,27
40,0.000443,0.000000,0.000000,0.000443,0.000000,0.181031,27
41,0.000443,0.000000,0.000000,0.000443,0.000000,0.181014,27
42,0.000443,0.000000,0.000000,0.000443,0.000000,0.180997,27
43,0.000441,0.000000,0.000000,0.000441,0.000000,0.180979,27
44,0.000441,0.000000,0.000000,0.000441,0.000000,0.180962,27
45,0.000441,0.000000,0.000000,0.000441,0.000000,0.180945,27
46,0.000441,0.000000,0.000000,0.000441,0.000000,0.180928,27
47,0.000439,0.000000,0.000000,0.000439,0.000000,0.180911,27
48,0.000439,0.000000,0.000000,0.000439,0.000000,0.180894,27
49,0.000439,0.000000,0.000000,0.000439,0.000000,0.180877,27
50,0.000439,0.000000,0.000000,0.000439,0.000000,0.180860,27
51,0.003168,0.000000,0.000000,0.003168,0.000000,0.245690,27
52,0.003139,0.000000,0.000000,0.003139,0.000000,0.245186,27
53,0.003111,0.000000,0.000000,0.003111,0.000000,0.244685,27
54,0.003084,0.000000,0.000000,0.003084,0.000000,0.244184,27
55,0.003056,0.000000,0.000000,0.003056,0.000000,0.243687,27
56,0.003029,0.000000,0.000000,0.003029,0.000000,0.243190,27
57,0.003002,0.000000,0.000000,0.003002,0.000000,0.242696,27
58,0.002975,0.000000,0.000000,0.002975,0.000000,0.242204,27
59,0.002949,0.000000,0.000000,0.002949,0.000000,0.241713,27
60,0.002922,0.000000,0.000000,0.002922,0.000000,0.241225,27
61,0.002897,0.000000,0.000000,0.002897,0.000000,0.240738,27
62,0.002872,0.000000,0.000000,0.002872,0.000000,0.240253,27
63,0.002846,0.000000,0.000000,0.002846,0.000000,0.239770,27
64,0.002821,0.000000,0.000000,0.002821,0.000000,0.239289,27
65,0.002796,0.000000,0.000000,0.002796,0.000000,0.238810,27
66,0.002771,0.000000,0.000000,0.002771,0.000000,0.238332,27
67,0.002748,0.000000,0.000000,0.002748,0.000000,0.237856,27
68,0.002724,0.000000,0.000000,0.002724,0.000000,0.237383,27
69,0.002699,0.000000,0.000000,0.002699,0.000000,0.236910,27
70,0.002676,0.000000,0.000000,0.002676,0.000000,0.236440,27
71,0.002653,0.000000,0.000000,0.002653,0.000000,0.235971,27
72,0.002630,0.000000,0.000000,0.002630,0.000000,0.235504,27
73,0.002607,0.000000,0.000000,0.002607,0.000000,0.235039,27
74,0.002584,0.000000,0.000000,0.002584,0.000000,0.234576,27
75,0.002562,0.000000,0.000000,0.002562,0.000000,0.234114,27
76,0.002541,0.000000,0.000000,0.002541,0.000000,0.233654,27
77,0.002518,0.000000,0.000000,0.002518,0.000000,0.233196,27
78,0.002497,0.000000,0.000000,0.002497,0.000000,0.232739,27
79,0.002475,0.000000,0.000000,0.002475,0.000000,0.232285,27
80,0.002453,0.000000,0.000000,0.002453,0.000000,0.231831,27
81,0.002432,0.000000,0.000000,0.002432,0.000000,0.231380,27
82,0.002411,0.000000,0.000000,0.002411,0.000000,0.230930,27
83,0.002390,0.000000,0.000000,0.002390,0.000000,0.230481,27
84,0.002370,0.000000,0.000000,0.002370,0.000000,0.230035,27
85,0.002350,0.000000,0.000000,0.002350,0.000000,0.229590,27
86,0.002330,0.000000,0.000000,0.002330,0.000000,0.229146,27
87,0.002310,0.000000,0.000000,0.002310,0.000000,0.228704,27
88,0.002291,0.000000,0.000000,0.002291,0.000000,0.228264,27
89,0.002271,0.000000,0.000000,0.002271,0.000000,0.227825,27
90,0.002252,0.000000,0.000000,0.002252,0.000000,0.227388,27
91,0.002233,0.000000,0.000000,0.002233,0.000000,0.226953,27
92,0.002213,0.000000,0.000000,0.002213,0.000000,0.226518,27
93,0.002194,0.000000,0.000000,0.002194,0.000000,0.226086,27
94,0.002176,0.000000,0.000000,0.002176,0.000000,0.225655,27
95,0.002158,0.000000,0.000000,0.002158,0.000000,0.225225,27
96,0.002140,0.000000,0.000000,0.002140,0.000000,0.224798,27
97,0.002122,0.000000,0.000000,0.002122,0.000000,0.224371,27
98,0.002104,0.000000,0.000000,0.002104,0.000000,0.223946,27
99,0.002087,0.000000,0.000000,0.002087,0.000000,0.223523,27
100,0.002069,0.000000,0.000000,0.002069,0.000000,0.223101,27
101,0.001879,0.000000,0.000000,0.001879,0.000000,0.244683,27
102,0.001862,0.000000,0.000000,0.001862,0.000000,0.244319,27
103,0.001844,0.000000,0.000000,0.001844,0.000000,0.243957,27
104,0.001827,0.000000,0.000000,0.001827,0.000000,0.243597,27
105,0.001812,0.000000,0.000000,0.001812,0.000000,0.243238,27
106,0.001795,0.000000,0.000000,0.001795,0.000000,0.242881,27
107,0.001780,0.000000,0.000000,0.001780,0.000000,0.242525,27
108,0.001762,0.000000,0.000000,0.001762,0.000000,0.242171,27
109,0.001747,0.000000,0.000000,0.001747,0.000000,0.241818,27
110,0.001732,0.000000,0.000000,0.001732,0.000000,0.241467,27
111,0.001717,0.000000,0.000000,0.001717,0.000000,0.241117,27
112,0.001701,0.000000,0.000000,0.001701,0.000000,0.240768,27
113,0.001686,0.000000,0.000000,0.001686,0.000000,0.240421,27
114,0.001671,0.000000,0.000000,0.001671,0.000000,0.240076,27
115,0.001656,0.000000,0.000000,0.001656,0.000000,0.239731,27
116,0.001640,0.000000,0.000000,0.001640,0.000000,0.239389,27
117,0.001626,0.000000,0.000000,0.001626,0.000000,0.239048,27
118,0.001612,0.000000,0.000000,0.001612,0.000000,0.238708,27
119,0.001596,0.000000,0.000000,0.001596,0.000000,0.238369,27
120,0.001583,0.000000,0.000000,0.001583,0.000000,0.238032,27
121,0.001570,0.000000,0.000000,0.001570,0.000000,0.237696,27
122,0.001554,0.000000,0.000000,0.001554,0.000000,0.237362,27
123,0.001541,0.000000,0.000000,0.001541,0.000000,0.237029,27
124,0.001528,0.000000,0.000000,0.001528,0.000000,0.236697,27
125,0.001514,0.000000,0.000000,0.001514,0.000000,0.236367,27
126,0.001501,0.000000,0.000000,0.001501,0.000000,0.236038,27
127,0.001488,0.000000,0.000000,0.001488,0.000000,0.235710,27
128,0.001474,0.000000,0.000000,0.001474,0.000000,0.235384,27
129,0.001461,0.000000,0.000000,0.001461,0.000000,0.235059,27
130,0.001448,0.000000,0.000000,0.001448,0.000000,0.234736,27
131,0.001434,0.000000,0.000000,0.001434,0.000000,0.234413,27
132,0.001423,0.000000,0.000000,0.001423,0.000000,0.234092,27
133,0.001410,0.000000,0.000000,0.001410,0.000000,0.233773,27
134,0.001398,0.000000,0.000000,0.001398,0.000000,0.233454,27
135,0.001385,0.000000,0.000000,0.001385,0.000000,0.233137,27
136,0.001373,0.000000,0.000000,0.001373,0.000000,0.232822,27
137,0.001360,0.000000,0.000000,0.001360,0.000000,0.232507,27
138,0.001348,0.000000,0.000000,0.001348,0.000000,0.232194,27
139,0.001337,0.000000,0.000000,0.001337,0.000000,0.231882,27
140,0.001326,0.000000,0.000000,0.001326,0.000000,0.231571,27
141,0.001314,0.000000,0.000000,0.001314,0.000000,0.231262,27
142,0.001302,0.000000,0.000000,0.001302,0.000000,0.230954,27
143,0.001290,0.000000,0.000000,0.001290,0.000000,0.230647,27
144,0.001280,0.000000,0.000000,0.001280,0.000000,0.230341,27
145,0.001268,0.000000,0.000000,0.001268,0.000000,0.230037,27
146,0.001257,0.000000,0.000000,0.001257,0.000000,0.229734,27
147,0.001245,0.000000,0.000000,0.001245,0.000000,0.229432,27
148,0.001234,0.000000,0.000000,0.001234,0.000000,0.229131,27
149,0.001225,0.000000,0.000000,0.001225,0.000000,0.228831,27
150,0.001213,0.000000,0.000000,0.001213,0.000000,0.228533,27
151,0.001194,0.000000,0.000000,0.001194,0.000000,0.173131,27
152,0.001183,0.000000,0.000000,0.001183,0.000000,0.172613,27
153,0.001173,0.000000,0.000000,0.001173,0.000000,0.172095,27
154,0.001162,0.000000,0.000000,0.001162,0.000000,0.171575,27
155,0.001152,0.000000,0.000000,0.001152,0.000000,0.171054,27
156,0.001143,0.000000,0.000000,0.001143,0.000000,0.170532,27
157,0.001131,0.000000,0.000000,0.001131,0.000000,0.170009,27
158,0.001122,0.000000,0.000000,0.001122,0.000000,0.169484,27
159,0.001112,0.000000,0.000000,0.001112,0.000000,0.168958,27
160,0.001102,0.000000,0.000000,0.001102,0.000000,0.168430,27
161,0.001093,0.000000,0.000000,0.001093,0.000000,0.167901,27
162,0.001083,0.000000,0.000000,0.001083,0.000000,0.167370,27
163,0.001074,0.000000,0.000000,0.001074,0.000000,0.166837,27
164,0.001064,0.000000,0.000000,0.001064,0.000000,0.166303,27
165,0.001055,0.000000,0.000000,0.001055,0.000000,0.165766,27
166,0.001045,0.000000,0.000000,0.001045,0.000000,0.165228,27
167,0.001036,0.000000,0.000000,0.001036,0.000000,0.164687,27
168,0.001028,0.000000,0.000000,0.001028,0.000000,0.164144,27
169,0.001019,0.000000,0.000000,0.001019,0.000000,0.163599,27
170,0.001009,0.000000,0.000000,0.001009,0.000000,0.163052,27
171,0.001001,0.000000,0.000000,0.001001,0.000000,0.162502,27
172,0.000992,0.000000,0.000000,0.000992,0.000000,0.161949,27
173,0.000983,0.000000,0.000000,0.000983,0.000000,0.161393,27
174,0.000975,0.000000,0.000000,0.000975,0.000000,0.160835,27
175,0.000967,0.000000,0.000000,0.000967,0.000000,0.160274,27
176,0.000957,0.000000,0.000000,0.000957,0.000000,0.159709,27
177,0.000950,0.000000,0.000000,0.000950,0.000000,0.159141,27
178,0.000940,0.000000,0.000000,0.000940,0.000000,0.158570,27
179,0.000933,0.000000,0.000000,0.000933,0.000000,0.157995,27
180,0.000925,0.000000,0.000000,0.000925,0.000000,0.157416,27
181,0.000916,0.000000,0.000000,0.000916,0.000000,0.156833,27
182,0.000908,0.000000,0.000000,0.000908,0.000000,0.156245,27
183,0.000900,0.000000,0.000000,0.000900,0.000000,0.155654,27
184,0.000893,0.000000,0.000000,0.000893,0.000000,0.155057,27
185,0.000885,0.000000,0.000000,0.000885,0.000000,0.154456,27
186,0.000877,0.000000,0.000000,0.000877,0.000000,0.153849,27
187,0.000870,0.000000,0.000000,0.000870,0.000000,0.153237,27
188,0.000862,0.000000,0.000000,0.000862,0.000000,0.152619,27
189,0.000854,0.000000,0.000000,0.000854,0.000000,0.151995,27
190,0.000847,0.000000,0.000000,0.000847,0.000000,0.151364,27
191,0.000839,0.000000,0.000000,0.000839,0.000000,0.150727,27
192,0.000834,0.000000,0.000000,0.000834,0.000000,0.150082,27
193,0.000826,0.000000,0.000000,0.000826,0.000000,0.149430,27
194,0.000818,0.000000,0.000000,0.000818,0.000000,0.148769,27
195,0.000811,0.000000,0.000000,0.000811,0.000000,0.148100,27
196,0.000805,0.000000,0.000000,0.000805,0.000000,0.147421,27
197,0.000797,0.000000,0.000000,0.000797,0.000000,0.146733,27
198,0.000791,0.000000,0.000000,0.000791,0.000000,0.146034,27
199,0.000784,0.000000,0.000000,0.000784,0.000000,0.145324,27
200,0.000776,0.000000,0.000000,0.000776,0.000000,0.144602,27
201,0.000766,0.000000,0.000000,0.000766,0.000000,0.165495,27
202,0.000759,0.000000,0.000000,0.000759,0.000000,0.165073,27
203,0.000752,0.000000,0.000000,0.000752,0.000000,0.164652,27
204,0.000746,0.000000,0.000000,0.000746,0.000000,0.164232,27
205,0.000740,0.000000,0.000000,0.000740,0.000000,0.163812,27
206,0.000732,0.000000,0.000000,0.000732,0.000000,0.163393,27
207,0.000727,0.000000,0.000000,0.000727,0.000000,0.162974,27
208,0.000721,0.000000,0.000000,0.000721,0.000000,0.162556,27
209,0.000714,0.000000,0.000000,0.000714,0.000000,0.162139,27
210,0.000708,0.000000,0.000000,0.000708,0.000000,0.161722,27
211,0.000702,0.000000,0.000000,0.000702,0.000000,0.161305,27
212,0.000696,0.000000,0.000000,0.000696,0.000000,0.160890,27
213,0.000690,0.000000,0.000000,0.000690,0.000000,0.160474,27
214,0.000684,0.000000,0.000000,0.000684,0.000000,0.160060,27
215,0.000677,0.000000,0.000000,0.000677,0.000000,0.159646,27
216,0.000671,0.000000,0.000000,0.000671,0.000000,0.159232,27
217,0.000666,0.000000,0.000000,0.000666,0.000000,0.158819,27
218,0.000660,0.000000,0.000000,0.000660,0.000000,0.158406,27
219,0.000654,0.000000,0.000000,0.000654,0.000000,0.157994,27
220,0.000648,0.000000,0.000000,0.000648,0.000000,0.157583,27
221,0.000643,0.000000,0.000000,0.000643,0.000000,0.157172,27
222,0.000638,0.000000,0.000000,0.000638,0.000000,0.156761,27
223,0.000633,0.000000,0.000000,0.000633,0.000000,0.156351,27
224,0.000628,0.000000,0.000000,0.000628,0.000000,0.155942,27
225,0.000622,0.000000,0.000000,0.000622,0.000000,0.155533,27
226,0.000616,0.000000,0.000000,0.000616,0.000000,0.155124,27
227,0.000610,0.000000,0.000000,0.000610,0.000000,0.154716,27
228,0.000606,0.000000,0.000000,0.000606,0.000000,0.154309,27
229,0.000601,0.000000,0.000000,0.000601,0.000000,0.153902,27
230,0.000595,0.000000,0.000000,0.000595,0.000000,0.153495,27
231,0.000590,0.000000,0.000000,0.000590,0.000000,0.153089,27
232,0.000586,0.000000,0.000000,0.000586,0.000000,0.152683,27
233,0.000580,0.000000,0.000000,0.000580,0.000000,0.152278,27
234,0.000575,0.000000,0.000000,0.000575,0.000000,0.151873,27
235,0.000570,0.000000,0.000000,0.000570,0.000000,0.151468,27
236,0.000565,0.000000,0.000000,0.000565,0.000000,0.151064,27
237,0.000561,0.000000,0.000000,0.000561,0.000000,0.150661,27
238,0.000555,0.000000,0.000000,0.000555,0.000000,0.150258,27
239,0.000551,0.000000,0.000000,0.000551,0.000000,0.149855,27
240,0.000546,0.000000,0.000000,0.000546,0.000000,0.149452,27
241,0.000542,0.000000,0.000000,0.000542,0.000000,0.149051,27
242,0.000536,0.000000,0.000000,0.000536,0.000000,0.148649,27
243,0.000532,0.000000,0.000000,0.000532,0.000000,0.148248,27
244,0.000527,0.000000,0.000000,0.000527,0.000000,0.147847,27
245,0.000523,0.000000,0.000000,0.000523,0.000000,0.147447,27
246,0.000519,0.000000,0.000000,0.000519,0.000000,0.147047,27
247,0.000514,0.000000,0.000000,0.000514,0.000000,0.146647,27
248,0.000509,0.000000,0.000000,0.000509,0.000000,0.146248,27
249,0.000505,0.000000,0.000000,0.000505,0.000000,0.145849,27
250,0.000502,0.000000,0.000000,0.000502,0.000000,0.145450,27
251,0.000496,0.000000,0.000000,0.000496,0.000000,0.145616,27
252,0.000492,0.000000,0.000000,0.000492,0.000000,0.145217,27
253,0.000488,0.000000,0.000000,0.000488,0.000000,0.144818,27
254,0.000484,0.000000,0.000000,0.000484,0.000000,0.144420,27
255,0.000480,0.000000,0.000000,0.000480,0.000000,0.144022,27
256,0.000476,0.000000,0.000000,0.000476,0.000000,0.143624,27
257,0.000471,0.000000,0.000000,0.000471,0.000000,0.143226,27
258,0.000467,0.000000,0.000000,0.000467,0.000000,0.142829,27
259,0.000463,0.000000,0.000000,0.000463,0.000000,0.142432,27
260,0.000460,0.000000,0.000000,0.000460,0.000000,0.142036,27
261,0.000456,0.000000,0.000000,0.000456,0.000000,0.141639,27
262,0.000452,0.000000,0.000000,0.000452,0.000000,0.141243,27
263,0.000448,0.000000,0.000000,0.000448,0.000000,0.140847,27
264,0.000444,0.000000,0.000000,0.000444,0.000000,0.140451,27
265,0.000441,0.000000,0.000000,0.000441,0.000000,0.140056,27
266,0.000437,0.000000,0.000000,0.000437,0.000000,0.139661,27
267,0.000433,0.000000,0.000000,0.000433,0.000000,0.139266,27
268,0.000429,0.000000,0.000000,0.000429,0.000000,0.138871,27
269,0.000425,0.000000,0.000000,0.000425,0.000000,0.138476,27
270,0.000422,0.000000,0.000000,0.000422,0.000000,0.138082,27
271,0.000418,0.000000,0.000000,0.000418,0.000000,0.137687,27
272,0.000414,0.000000,0.000000,0.000414,0.000000,0.137293,27
