step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.359740,0.000000,0.000000,0.010395,3.493446,0.408925,60
1,0.354932,0.000000,0.000000,0.010288,3.446438,0.399905,60
2,0.353418,0.000000,0.000000,0.010208,3.432102,0.399357,60
3,0.351914,0.000000,0.000000,0.010132,3.417826,0.398810,60
4,0.350417,0.000000,0.000000,0.010056,3.403613,0.398265,60
5,0.348933,0.000000,0.000000,0.009987,3.389461,0.397720,60
6,0.347451,0.000000,0.000000,0.009914,3.375370,0.397177,60
7,0.345976,0.000000,0.000000,0.009842,3.361339,0.396635,60
8,0.344503,0.000000,0.000000,0.009766,3.347370,0.396095,60
9,0.343039,0.000000,0.000000,0.009693,3.333461,0.395555,60
10,0.341582,0.000000,0.000000,0.009621,3.319611,0.395017,60
11,0.340134,0.000000,0.000000,0.009552,3.305821,0.394480,60
12,0.338692,0.000000,0.000000,0.009483,3.292090,0.393944,60
13,0.337249,0.000000,0.000000,0.009407,3.278418,0.393409,60
14,0.335827,0.000000,0.000000,0.009346,3.264805,0.392874,60
15,0.334399,0.000000,0.000000,0.009274,3.251251,0.392343,60
16,0.332984,0.000000,0.000000,0.009209,3.237755,0.391812,60
17,0.331572,0.000000,0.000000,0.009140,3.224317,0.391281,60
18,0.330169,0.000000,0.000000,0.009075,3.210937,0.390751,60
19,0.328764,0.000000,0.000000,0.009003,3.197614,0.390223,60
20,0.327376,0.000000,0.000000,0.008942,3.184348,0.389696,60
21,0.325995,0.000000,0.000000,0.008881,3.171139,0.389170,60
22,0.324611,0.000000,0.000000,0.008812,3.157987,0.388645,60
23,0.323236,0.000000,0.000000,0.008747,3.144891,0.388121,60
24,0.321871,0.000000,0.000000,0.008686,3.131851,0.387599,60
25,0.320512,0.000000,0.000000,0.008625,3.118868,0.387077,60
26,0.319154,0.000000,0.000000,0.008560,3.105940,0.386557,60
27,0.317806,0.000000,0.000000,0.008499,3.093066,0.386037,60
28,0.316463,0.000000,0.000000,0.008438,3.080248,0.385518,60
29,0.315122,0.000000,0.000000,0.008373,3.067486,0.385001,60
30,0.313794,0.000000,0.000000,0.008316,3.054777,0.384485,60
31,0.312467,0.000000,0.000000,0.008255,3.042123,0.383970,60
32,0.311154,0.000000,0.000000,0.008202,3.029523,0.383456,60
33,0.309838,0.000000,0.000000,0.008141,3.016977,0.382943,60
34,0.308536,0.000000,0.000000,0.008087,3.004485,0.382432,60
35,0.307231,0.000000,0.000000,0.008026,2.992045,0.381921,60
36,0.305935,0.000000,0.000000,0.007969,2.979659,0.381412,60
37,0.304648,0.000000,0.000000,0.007915,2.967326,0.380903,60
38,0.303363,0.000000,0.000000,0.007858,2.955046,0.380395,60
39,0.302087,0.000000,0.000000,0.007805,2.942817,0.379888,60
40,0.300808,0.000000,0.000000,0.007744,2.930642,0.379383,60
41,0.299542,0.000000,0.000000,0.007690,2.918517,0.378879,60
42,0.298282,0.000000,0.000000,0.007637,2.906445,0.378376,60
43,0.297026,0.000000,0.000000,0.007584,2.894423,0.377873,60
44,0.295779,0.000000,0.000000,0.007534,2.882454,0.377372,60
45,0.294530,0.000000,0.000000,0.007477,2.870535,0.376873,60
46,0.293290,0.000000,0.000000,0.007423,2.858667,0.376373,60
47,0.292059,0.000000,0.000000,0.007374,2.846849,0.375875,60
48,0.290832,0.000000,0.000000,0.007324,2.835082,0.375378,60
49,0.289611,0.000000,0.000000,0.007275,2.823364,0.374881,60
50,0.288395,0.000000,0.000000,0.007225,2.811697,0.374387,60
51,0.287183,0.000000,0.000000,0.007175,2.800079,0.373894,60
52,0.285973,0.000000,0.000000,0.007122,2.788511,0.373401,60
53,0.284772,0.000000,0.000000,0.007072,2.776991,0.372908,60
54,0.283575,0.000000,0.000000,0.007023,2.765520,0.372418,60
55,0.282383,0.000000,0.000000,0.006973,2.754098,0.371929,60
56,0.281200,0.000000,0.000000,0.006927,2.742725,0.371439,60
57,0.280022,0.000000,0.000000,0.006882,2.731400,0.370951,60
58,0.278848,0.000000,0.000000,0.006836,2.720123,0.370465,60
59,0.277676,0.000000,0.000000,0.006786,2.708894,0.369979,60
60,0.276512,0.000000,0.000000,0.006741,2.697712,0.369495,60
61,0.275349,0.000000,0.000000,0.006691,2.686578,0.369011,60
62,0.274198,0.000000,0.000000,0.006649,2.675491,0.368529,60
63,0.273052,0.000000,0.000000,0.006607,2.664451,0.368046,60
64,0.271903,0.000000,0.000000,0.006557,2.653457,0.367567,60
65,0.270763,0.000000,0.000000,0.006512,2.642510,0.367086,60
66,0.269631,0.000000,0.000000,0.006470,2.631611,0.366609,60
67,0.268500,0.000000,0.000000,0.006424,2.620756,0.366131,60
68,0.267373,0.000000,0.000000,0.006378,2.609948,0.365654,60
69,0.266259,0.000000,0.000000,0.006340,2.599185,0.365178,60
70,0.265145,0.000000,0.000000,0.006298,2.588468,0.364704,60
71,0.264036,0.000000,0.000000,0.006256,2.577796,0.364230,60
72,0.262931,0.000000,0.000000,0.006214,2.567169,0.363757,60
73,0.261831,0.000000,0.000000,0.006172,2.556587,0.363286,60
74,0.260731,0.000000,0.000000,0.006126,2.546051,0.362815,60
75,0.259640,0.000000,0.000000,0.006084,2.535558,0.362345,60
76,0.250980,0.000000,0.000000,0.005974,2.450066,0.361989,60
77,0.249929,0.000000,0.000000,0.005932,2.439967,0.361524,60
78,0.248885,0.000000,0.000000,0.005894,2.429911,0.361061,60
79,0.247849,0.000000,0.000000,0.005859,2.419898,0.360599,60
80,0.246814,0.000000,0.000000,0.005821,2.409926,0.360137,60
81,0.245783,0.000000,0.000000,0.005783,2.399997,0.359677,60
82,0.244756,0.000000,0.000000,0.005745,2.390110,0.359218,60
83,0.243729,0.000000,0.000000,0.005703,2.380265,0.358760,60
84,0.242711,0.000000,0.000000,0.005665,2.370460,0.358302,60
85,0.241700,0.000000,0.000000,0.005630,2.360698,0.357846,60
86,0.240690,0.000000,0.000000,0.005592,2.350976,0.357389,60
87,0.239688,0.000000,0.000000,0.005558,2.341295,0.356937,60
88,0.238685,0.000000,0.000000,0.005520,2.331655,0.356482,60
89,0.237691,0.000000,0.000000,0.005486,2.322056,0.356030,60
90,0.236701,0.000000,0.000000,0.005451,2.312497,0.355577,60
91,0.235707,0.000000,0.000000,0.005409,2.302979,0.355127,60
92,0.234729,0.000000,0.000000,0.005379,2.293500,0.354676,60
93,0.233754,0.000000,0.000000,0.005348,2.284061,0.354227,60
94,0.232776,0.000000,0.000000,0.005310,2.274662,0.353779,60
95,0.231806,0.000000,0.000000,0.005276,2.265303,0.353333,60
96,0.230840,0.000000,0.000000,0.005241,2.255983,0.352885,60
97,0.229873,0.000000,0.000000,0.005203,2.246702,0.352440,60
98,0.228919,0.000000,0.000000,0.005173,2.237460,0.351996,60
99,0.227968,0.000000,0.000000,0.005142,2.228257,0.351553,60
100,0.227013,0.000000,0.000000,0.005104,2.219093,0.351110,60
101,0.226070,0.000000,0.000000,0.005074,2.209967,0.350668,60
102,0.225127,0.000000,0.000000,0.005039,2.200879,0.350227,60
103,0.224192,0.000000,0.000000,0.005009,2.191830,0.349787,60
104,0.223260,0.000000,0.000000,0.004978,2.182818,0.349348,60
105,0.222332,0.000000,0.000000,0.004948,2.173845,0.348911,60
106,0.221404,0.000000,0.000000,0.004913,2.164909,0.348473,60
107,0.220484,0.000000,0.000000,0.004883,2.156011,0.348037,60
108,0.219567,0.000000,0.000000,0.004852,2.147150,0.347602,60
109,0.218654,0.000000,0.000000,0.004822,2.138326,0.347168,60
110,0.217741,0.000000,0.000000,0.004787,2.129539,0.346734,60
111,0.216836,0.000000,0.000000,0.004757,2.120789,0.346301,60
112,0.215938,0.000000,0.000000,0.004730,2.112076,0.345870,60
113,0.215040,0.000000,0.000000,0.004700,2.103399,0.345439,60
114,0.214145,0.000000,0.000000,0.004669,2.094759,0.345010,60
115,0.213254,0.000000,0.000000,0.004639,2.086155,0.344580,60
116,0.212371,0.000000,0.000000,0.004612,2.077586,0.344152,60
117,0.211491,0.000000,0.000000,0.004585,2.069054,0.343725,60
118,0.210610,0.000000,0.000000,0.004555,2.060557,0.343298,60
119,0.209734,0.000000,0.000000,0.004524,2.052097,0.342873,60
120,0.208865,0.000000,0.000000,0.004498,2.043671,0.342448,60
121,0.207999,0.000000,0.000000,0.004471,2.035280,0.342024,60
122,0.207137,0.000000,0.000000,0.004444,2.026926,0.341601,60
123,0.206274,0.000000,0.000000,0.004414,2.018605,0.341179,60
124,0.205419,0.000000,0.000000,0.004387,2.010319,0.340759,60
125,0.204563,0.000000,0.000000,0.004356,2.002069,0.340338,60
126,0.203715,0.000000,0.000000,0.004330,1.993853,0.339919,60
127,0.202874,0.000000,0.000000,0.004307,1.985671,0.339500,60
128,0.202032,0.000000,0.000000,0.004280,1.977523,0.339082,60
129,0.201191,0.000000,0.000000,0.004250,1.969409,0.338666,60
130,0.200356,0.000000,0.000000,0.004223,1.961329,0.338251,60
131,0.199528,0.000000,0.000000,0.004200,1.953284,0.337835,60
132,0.198700,0.000000,0.000000,0.004173,1.945271,0.337420,60
133,0.197880,0.000000,0.000000,0.004150,1.937293,0.337007,60
134,0.197055,0.000000,0.000000,0.004120,1.929346,0.336595,60
135,0.196240,0.000000,0.000000,0.004097,1.921434,0.336183,60
136,0.195426,0.000000,0.000000,0.004070,1.913554,0.335772,60
137,0.194618,0.000000,0.000000,0.004047,1.905708,0.335362,60
138,0.193810,0.000000,0.000000,0.004021,1.897894,0.334953,60
139,0.193013,0.000000,0.000000,0.004002,1.890113,0.334545,60
140,0.192211,0.000000,0.000000,0.003975,1.882365,0.334137,60
141,0.191417,0.000000,0.000000,0.003952,1.874648,0.333731,60
142,0.190622,0.000000,0.000000,0.003925,1.866964,0.333324,60
143,0.189830,0.000000,0.000000,0.003899,1.859312,0.332920,60
144,0.189045,0.000000,0.000000,0.003876,1.851691,0.332515,60
145,0.188267,0.000000,0.000000,0.003857,1.844103,0.332112,60
146,0.187485,0.000000,0.000000,0.003830,1.836546,0.331710,60
147,0.186713,0.000000,0.000000,0.003811,1.829020,0.331308,60
148,0.185937,0.000000,0.000000,0.003784,1.821527,0.330907,60
149,0.185172,0.000000,0.000000,0.003765,1.814064,0.330507,60
150,0.184402,0.000000,0.000000,0.003738,1.806632,0.330109,60
151,0.178342,0.000000,0.000000,0.003716,1.746266,0.328400,60
152,0.177604,0.000000,0.000000,0.003693,1.739109,0.328006,60
153,0.176868,0.000000,0.000000,0.003670,1.731982,0.327614,60
154,0.176139,0.000000,0.000000,0.003651,1.724885,0.327222,60
155,0.175406,0.000000,0.000000,0.003624,1.717816,0.326830,60
156,0.174683,0.000000,0.000000,0.003605,1.710778,0.326442,60
157,0.173963,0.000000,0.000000,0.003586,1.703769,0.326052,60
158,0.173242,0.000000,0.000000,0.003563,1.696789,0.325663,60
159,0.172528,0.000000,0.000000,0.003544,1.689838,0.325275,60
160,0.171809,0.000000,0.000000,0.003517,1.682916,0.324888,60
161,0.171104,0.000000,0.000000,0.003502,1.676023,0.324502,60
162,0.170395,0.000000,0.000000,0.003479,1.669158,0.324116,60
163,0.169688,0.000000,0.000000,0.003456,1.662322,0.323731,60
164,0.168989,0.000000,0.000000,0.003437,1.655515,0.323347,60
165,0.168292,0.000000,0.000000,0.003418,1.648736,0.322964,60
166,0.167597,0.000000,0.000000,0.003399,1.641985,0.322581,60
167,0.166910,0.000000,0.000000,0.003384,1.635262,0.322201,60
168,0.166214,0.000000,0.000000,0.003357,1.628567,0.321820,60
169,0.165532,0.000000,0.000000,0.003342,1.621900,0.321440,60
170,0.164849,0.000000,0.000000,0.003323,1.615260,0.321061,60
171,0.164165,0.000000,0.000000,0.003300,1.608648,0.320682,60
172,0.163491,0.000000,0.000000,0.003284,1.602064,0.320304,60
173,0.162812,0.000000,0.000000,0.003262,1.595507,0.319928,60
174,0.162140,0.000000,0.000000,0.003242,1.588978,0.319550,60
175,0.161471,0.000000,0.000000,0.003223,1.582475,0.319175,60
176,0.160804,0.000000,0.000000,0.003204,1.575999,0.318801,60
177,0.160144,0.000000,0.000000,0.003189,1.569551,0.318427,60
178,0.159483,0.000000,0.000000,0.003170,1.563129,0.318055,60
179,0.158824,0.000000,0.000000,0.003151,1.556733,0.317682,60
180,0.158172,0.000000,0.000000,0.003136,1.550365,0.317310,60
181,0.157523,0.000000,0.000000,0.003120,1.544022,0.316940,60
182,0.156868,0.000000,0.000000,0.003098,1.537706,0.316570,60
183,0.156220,0.000000,0.000000,0.003078,1.531416,0.316200,60
184,0.155578,0.000000,0.000000,0.003063,1.525153,0.315832,60
185,0.154939,0.000000,0.000000,0.003048,1.518914,0.315465,60
186,0.154292,0.000000,0.000000,0.003021,1.512703,0.315097,60
187,0.153658,0.000000,0.000000,0.003006,1.506517,0.314731,60
188,0.153026,0.000000,0.000000,0.002991,1.500357,0.314366,60
189,0.152398,0.000000,0.000000,0.002975,1.494222,0.314001,60
190,0.151771,0.000000,0.000000,0.002960,1.488112,0.313636,60
191,0.151144,0.000000,0.000000,0.002941,1.482028,0.313274,60
192,0.150523,0.000000,0.000000,0.002926,1.475969,0.312911,60
193,0.149900,0.000000,0.000000,0.002907,1.469935,0.312549,60
194,0.149284,0.000000,0.000000,0.002892,1.463927,0.312188,60
195,0.148671,0.000000,0.000000,0.002876,1.457942,0.311828,60
196,0.148059,0.000000,0.000000,0.002861,1.451984,0.311468,60
197,0.147451,0.000000,0.000000,0.002846,1.446049,0.311109,60
198,0.146844,0.000000,0.000000,0.002831,1.440139,0.310751,60
199,0.146241,0.000000,0.000000,0.002815,1.434254,0.310394,60
200,0.145639,0.000000,0.000000,0.002800,1.428393,0.310038,60
201,0.145033,0.000000,0.000000,0.002777,1.422556,0.309681,60
202,0.144440,0.000000,0.000000,0.002766,1.416743,0.309327,60
203,0.143846,0.000000,0.000000,0.002750,1.410955,0.308973,60
204,0.143250,0.000000,0.000000,0.002731,1.405190,0.308618,60
205,0.142665,0.000000,0.000000,0.002720,1.399450,0.308265,60
206,0.142078,0.000000,0.000000,0.002705,1.393733,0.307913,60
207,0.141489,0.000000,0.000000,0.002686,1.388039,0.307562,60
208,0.140911,0.000000,0.000000,0.002674,1.382370,0.307211,60
209,0.140327,0.000000,0.000000,0.002655,1.376724,0.306860,60
210,0.139754,0.000000,0.000000,0.002644,1.371101,0.306511,60
211,0.139182,0.000000,0.000000,0.002632,1.365501,0.306163,60
212,0.138606,0.000000,0.000000,0.002613,1.359925,0.305815,60
213,0.138035,0.000000,0.000000,0.002598,1.354371,0.305467,60
214,0.137467,0.000000,0.000000,0.002583,1.348840,0.305121,60
215,0.136904,0.000000,0.000000,0.002571,1.343333,0.304774,60
216,0.136341,0.000000,0.000000,0.002556,1.337848,0.304430,60
217,0.135787,0.000000,0.000000,0.002548,1.332386,0.304085,60
218,0.135220,0.000000,0.000000,0.002525,1.326946,0.303741,60
219,0.134663,0.000000,0.000000,0.002510,1.321529,0.303399,60
220,0.134112,0.000000,0.000000,0.002499,1.316134,0.303056,60
221,0.133563,0.000000,0.000000,0.002487,1.310762,0.302714,60
222,0.133021,0.000000,0.000000,0.002480,1.305411,0.302373,60
223,0.132469,0.000000,0.000000,0.002460,1.300083,0.302034,60
224,0.131927,0.000000,0.000000,0.002449,1.294777,0.301693,60
225,0.131383,0.000000,0.000000,0.002434,1.289492,0.301355,60
226,0.125812,0.000000,0.000000,0.002415,1.233970,0.295673,60
227,0.125300,0.000000,0.000000,0.002407,1.228931,0.295346,60
228,0.124783,0.000000,0.000000,0.002392,1.223913,0.295019,60
