step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.007845,0.000000,0.000000,0.001873,0.059718,0.226554,87
1,0.004529,0.000000,0.000000,0.001860,0.026694,0.204754,87
2,0.004512,0.000000,0.000000,0.001856,0.026565,0.204716,87
3,0.004494,0.000000,0.000000,0.001850,0.026436,0.204678,87
4,0.004475,0.000000,0.000000,0.001844,0.026307,0.204639,87
5,0.004457,0.000000,0.000000,0.001839,0.026179,0.204602,87
6,0.004438,0.000000,0.000000,0.001833,0.026052,0.204563,87
7,0.004422,0.000000,0.000000,0.001829,0.025926,0.204525,87
8,0.004401,0.000000,0.000000,0.001822,0.025800,0.204487,87
9,0.004383,0.000000,0.000000,0.001816,0.025675,0.204449,87
10,0.004367,0.000000,0.000000,0.001812,0.025550,0.204411,87
11,0.004347,0.000000,0.000000,0.001804,0.025426,0.204373,87
12,0.004331,0.000000,0.000000,0.001801,0.025302,0.204334,87
13,0.004313,0.000000,0.000000,0.001795,0.025179,0.204296,87
14,0.004295,0.000000,0.000000,0.001789,0.025057,0.204258,87
15,0.004279,0.000000,0.000000,0.001785,0.024936,0.204220,87
16,0.004259,0.000000,0.000000,0.001778,0.024814,0.204181,87
17,0.004243,0.000000,0.000000,0.001774,0.024694,0.204143,87
18,0.004226,0.000000,0.000000,0.001768,0.024574,0.204104,87
19,0.004208,0.000000,0.000000,0.001762,0.024455,0.204066,87
20,0.004188,0.000000,0.000000,0.001755,0.024336,0.204028,87
21,0.004173,0.000000,0.000000,0.001751,0.024218,0.203989,87
22,0.004157,0.000000,0.000000,0.001747,0.024100,0.203951,87
23,0.004142,0.000000,0.000000,0.001743,0.023983,0.203912,87
24,0.004122,0.000000,0.000000,0.001736,0.023867,0.203874,87
25,0.004107,0.000000,0.000000,0.001732,0.023751,0.203836,87
26,0.004090,0.000000,0.000000,0.001726,0.023636,0.203797,87
27,0.004073,0.000000,0.000000,0.001720,0.023521,0.203759,87
28,0.004057,0.000000,0.000000,0.001717,0.023407,0.203721,87
29,0.004042,0.000000,0.000000,0.001713,0.023293,0.203682,87
30,0.004025,0.000000,0.000000,0.001707,0.023180,0.203644,87
31,0.004008,0.000000,0.000000,0.001701,0.023068,0.203605,87
32,0.003991,0.000000,0.000000,0.001696,0.022956,0.203567,87
33,0.003976,0.000000,0.000000,0.001692,0.022844,0.203528,87
34,0.003959,0.000000,0.000000,0.001686,0.022734,0.203490,87
35,0.003945,0.000000,0.000000,0.001682,0.022623,0.203452,87
36,0.003930,0.000000,0.000000,0.001678,0.022514,0.203413,87
37,0.003913,0.000000,0.000000,0.001673,0.022404,0.203375,87
38,0.003898,0.000000,0.000000,0.001669,0.022296,0.203336,87
39,0.003882,0.000000,0.000000,0.001663,0.022187,0.203298,87
40,0.003867,0.000000,0.000000,0.001659,0.022080,0.203260,87
41,0.003853,0.000000,0.000000,0.001656,0.021973,0.203221,87
42,0.003836,0.000000,0.000000,0.001650,0.021866,0.203183,87
43,0.003820,0.000000,0.000000,0.001644,0.021760,0.203144,87
44,0.003806,0.000000,0.000000,0.001640,0.021654,0.203106,87
45,0.003791,0.000000,0.000000,0.001637,0.021549,0.203068,87
46,0.003773,0.000000,0.000000,0.001629,0.021445,0.203029,87
47,0.003759,0.000000,0.000000,0.001625,0.021341,0.202991,87
48,0.003745,0.000000,0.000000,0.001621,0.021237,0.202953,87
49,0.003731,0.000000,0.000000,0.001617,0.021134,0.202915,87
50,0.003717,0.000000,0.000000,0.001614,0.021031,0.202876,87
51,0.002441,0.000000,0.000000,0.001585,0.008559,0.204873,87
52,0.002432,0.000000,0.000000,0.001581,0.008513,0.204847,87
53,0.002424,0.000000,0.000000,0.001577,0.008467,0.204821,87
54,0.002414,0.000000,0.000000,0.001572,0.008421,0.204795,87
55,0.002405,0.000000,0.000000,0.001568,0.008376,0.204769,87
56,0.002397,0.000000,0.000000,0.001564,0.008331,0.204743,87
57,0.002391,0.000000,0.000000,0.001562,0.008286,0.204717,87
