step,loss_total,loss_semantic,loss_descent,loss_acyclic,loss_spectral,spectral_radius,num_queries
0,0.052920,0.000000,0.000000,0.004301,0.486187,0.369844,100
1,0.045191,0.000000,0.000000,0.003994,0.411969,0.357480,100
2,0.044990,0.000000,0.000000,0.003971,0.410189,0.357133,100
3,0.044794,0.000000,0.000000,0.003952,0.408418,0.356785,100
4,0.044595,0.000000,0.000000,0.003929,0.406654,0.356439,100
5,0.044398,0.000000,0.000000,0.003908,0.404898,0.356094,100
6,0.044202,0.000000,0.000000,0.003887,0.403150,0.355749,100
7,0.044011,0.000000,0.000000,0.003870,0.401410,0.355405,100
8,0.043815,0.000000,0.000000,0.003847,0.399678,0.355063,100
9,0.043623,0.000000,0.000000,0.003828,0.397953,0.354720,100
10,0.043431,0.000000,0.000000,0.003807,0.396237,0.354379,100
11,0.043239,0.000000,0.000000,0.003786,0.394527,0.354039,100
12,0.043050,0.000000,0.000000,0.003767,0.392826,0.353699,100
13,0.042859,0.000000,0.000000,0.003746,0.391132,0.353360,100
14,0.042672,0.000000,0.000000,0.003727,0.389446,0.353023,100
15,0.042485,0.000000,0.000000,0.003708,0.387767,0.352686,100
16,0.042297,0.000000,0.000000,0.003687,0.386096,0.352349,100
17,0.042111,0.000000,0.000000,0.003668,0.384432,0.352014,100
18,0.041926,0.000000,0.000000,0.003649,0.382776,0.351680,100
19,0.041742,0.000000,0.000000,0.003630,0.381127,0.351346,100
20,0.041559,0.000000,0.000000,0.003611,0.379486,0.351012,100
21,0.041377,0.000000,0.000000,0.003592,0.377851,0.350680,100
22,0.041197,0.000000,0.000000,0.003574,0.376225,0.350350,100
23,0.041016,0.000000,0.000000,0.003555,0.374605,0.350019,100
24,0.040835,0.000000,0.000000,0.003536,0.372993,0.349689,100
25,0.040658,0.000000,0.000000,0.003519,0.371387,0.349361,100
26,0.040477,0.000000,0.000000,0.003498,0.369789,0.349032,100
27,0.040301,0.000000,0.000000,0.003481,0.368198,0.348705,100
28,0.040125,0.000000,0.000000,0.003464,0.366614,0.348378,100
29,0.039950,0.000000,0.000000,0.003447,0.365038,0.348052,100
30,0.039774,0.000000,0.000000,0.003428,0.363468,0.347727,100
31,0.034880,0.000000,0.000000,0.002474,0.324063,0.349289,100
32,0.034732,0.000000,0.000000,0.002462,0.322691,0.348973,100
33,0.034583,0.000000,0.000000,0.002451,0.321325,0.348658,100
34,0.034436,0.000000,0.000000,0.002439,0.319965,0.348344,100
35,0.034291,0.000000,0.000000,0.002430,0.318611,0.348031,100
36,0.034145,0.000000,0.000000,0.002419,0.317262,0.347718,100
37,0.033999,0.000000,0.000000,0.002407,0.315920,0.347407,100
38,0.033852,0.000000,0.000000,0.002394,0.314583,0.347096,100
39,0.033707,0.000000,0.000000,0.002382,0.313252,0.346786,100
40,0.033563,0.000000,0.000000,0.002371,0.311927,0.346476,100
41,0.033420,0.000000,0.000000,0.002359,0.310607,0.346168,100
42,0.033275,0.000000,0.000000,0.002346,0.309294,0.345860,100
43,0.033137,0.000000,0.000000,0.002338,0.307985,0.345553,100
44,0.032995,0.000000,0.000000,0.002327,0.306683,0.345246,100
45,0.032854,0.000000,0.000000,0.002316,0.305386,0.344940,100
46,0.032714,0.000000,0.000000,0.002304,0.304095,0.344634,100
47,0.032574,0.000000,0.000000,0.002293,0.302810,0.344331,100
48,0.032434,0.000000,0.000000,0.002281,0.301529,0.344026,100
49,0.032299,0.000000,0.000000,0.002274,0.300255,0.343724,100
50,0.032161,0.000000,0.000000,0.002262,0.298986,0.343422,100
51,0.032023,0.000000,0.000000,0.002251,0.297723,0.343121,100
52,0.031886,0.000000,0.000000,0.002239,0.296465,0.342820,100
53,0.031753,0.000000,0.000000,0.002232,0.295212,0.342520,100
54,0.031617,0.000000,0.000000,0.002220,0.293965,0.342221,100
55,0.031481,0.000000,0.000000,0.002209,0.292723,0.341922,100
56,0.031350,0.000000,0.000000,0.002201,0.291487,0.341625,100
57,0.031215,0.000000,0.000000,0.002190,0.290255,0.341327,100
58,0.031081,0.000000,0.000000,0.002178,0.289030,0.341031,100
59,0.030950,0.000000,0.000000,0.002169,0.287809,0.340735,100
60,0.030819,0.000000,0.000000,0.002159,0.286594,0.340440,100
61,0.027770,0.000000,0.000000,0.002096,0.256742,0.333785,100
62,0.027652,0.000000,0.000000,0.002087,0.255655,0.333503,100
63,0.027534,0.000000,0.000000,0.002077,0.254573,0.333221,100
64,0.027419,0.000000,0.000000,0.002069,0.253496,0.332939,100
65,0.027302,0.000000,0.000000,0.002060,0.252424,0.332659,100
66,0.027186,0.000000,0.000000,0.002050,0.251355,0.332379,100
67,0.027068,0.000000,0.000000,0.002039,0.250292,0.332099,100
68,0.026957,0.000000,0.000000,0.002033,0.249233,0.331821,100
69,0.026842,0.000000,0.000000,0.002024,0.248179,0.331543,100
70,0.026727,0.000000,0.000000,0.002014,0.247130,0.331266,100
71,0.026613,0.000000,0.000000,0.002005,0.246085,0.330989,100
72,0.026501,0.000000,0.000000,0.001997,0.245044,0.330713,100
73,0.026388,0.000000,0.000000,0.001987,0.244008,0.330438,100
74,0.026276,0.000000,0.000000,0.001978,0.242976,0.330164,100
75,0.026167,0.000000,0.000000,0.001972,0.241949,0.329890,100
76,0.026053,0.000000,0.000000,0.001961,0.240926,0.329616,100
77,0.025946,0.000000,0.000000,0.001955,0.239908,0.329343,100
78,0.025835,0.000000,0.000000,0.001945,0.238894,0.329071,100
79,0.025726,0.000000,0.000000,0.001938,0.237884,0.328800,100
80,0.025614,0.000000,0.000000,0.001926,0.236879,0.328529,100
81,0.025507,0.000000,0.000000,0.001919,0.235878,0.328259,100
82,0.025399,0.000000,0.000000,0.001911,0.234882,0.327990,100
83,0.025291,0.000000,0.000000,0.001902,0.233889,0.327721,100
84,0.025184,0.000000,0.000000,0.001894,0.232901,0.327453,100
85,0.025080,0.000000,0.000000,0.001888,0.231917,0.327185,100
86,0.024971,0.000000,0.000000,0.001877,0.230938,0.326918,100
87,0.024865,0.000000,0.000000,0.001869,0.229962,0.326652,100
88,0.024761,0.000000,0.000000,0.001862,0.228991,0.326386,100
89,0.024656,0.000000,0.000000,0.001854,0.228024,0.326121,100
90,0.024552,0.000000,0.000000,0.001846,0.227062,0.325857,100
91,0.022120,0.000000,0.000000,0.001831,0.202886,0.315037,100
92,0.022026,0.000000,0.000000,0.001823,0.202026,0.314788,100
93,0.021933,0.000000,0.000000,0.001816,0.201170,0.314540,100
94,0.021840,0.000000,0.000000,0.001808,0.200318,0.314292,100
95,0.021747,0.000000,0.000000,0.001801,0.199470,0.314045,100
96,0.021655,0.000000,0.000000,0.001793,0.198625,0.313798,100
97,0.021564,0.000000,0.000000,0.001785,0.197783,0.313552,100
98,0.021472,0.000000,0.000000,0.001778,0.196946,0.313307,100
99,0.021383,0.000000,0.000000,0.001772,0.196112,0.313062,100
100,0.021292,0.000000,0.000000,0.001764,0.195281,0.312817,100
101,0.021200,0.000000,0.000000,0.001755,0.194454,0.312574,100
102,0.021110,0.000000,0.000000,0.001747,0.193631,0.312331,100
103,0.021024,0.000000,0.000000,0.001743,0.192811,0.312088,100
104,0.020935,0.000000,0.000000,0.001736,0.191995,0.311846,100
105,0.020846,0.000000,0.000000,0.001728,0.191182,0.311605,100
106,0.020758,0.000000,0.000000,0.001720,0.190373,0.311364,100
107,0.020673,0.000000,0.000000,0.001717,0.189567,0.311124,100
108,0.020585,0.000000,0.000000,0.001709,0.188765,0.310884,100
109,0.020498,0.000000,0.000000,0.001701,0.187966,0.310645,100
110,0.020411,0.000000,0.000000,0.001694,0.187170,0.310406,100
111,0.020326,0.000000,0.000000,0.001688,0.186378,0.310168,100
112,0.020241,0.000000,0.000000,0.001682,0.185590,0.309931,100
113,0.020153,0.000000,0.000000,0.001673,0.184805,0.309693,100
114,0.020067,0.000000,0.000000,0.001665,0.184023,0.309458,100
115,0.019984,0.000000,0.000000,0.001659,0.183244,0.309222,100
116,0.019899,0.000000,0.000000,0.001652,0.182469,0.308986,100
117,0.019814,0.000000,0.000000,0.001644,0.181697,0.308752,100
118,0.019731,0.000000,0.000000,0.001638,0.180929,0.308518,100
119,0.019649,0.000000,0.000000,0.001633,0.180164,0.308284,100
120,0.019567,0.000000,0.000000,0.001627,0.179402,0.308051,100
121,0.017566,0.000000,0.000000,0.001591,0.159751,0.302992,100
122,0.017490,0.000000,0.000000,0.001583,0.159073,0.302771,100
123,0.017417,0.000000,0.000000,0.001577,0.158399,0.302549,100
124,0.017344,0.000000,0.000000,0.001572,0.157727,0.302329,100
125,0.017272,0.000000,0.000000,0.001566,0.157058,0.302108,100
126,0.017199,0.000000,0.000000,0.001560,0.156392,0.301888,100
127,0.017124,0.000000,0.000000,0.001551,0.155729,0.301669,100
128,0.017054,0.000000,0.000000,0.001547,0.155069,0.301451,100
129,0.016982,0.000000,0.000000,0.001541,0.154412,0.301233,100
130,0.016909,0.000000,0.000000,0.001534,0.153757,0.301015,100
131,0.016840,0.000000,0.000000,0.001530,0.153105,0.300798,100
132,0.016770,0.000000,0.000000,0.001524,0.152457,0.300581,100
133,0.016699,0.000000,0.000000,0.001518,0.151810,0.300365,100
134,0.016627,0.000000,0.000000,0.001511,0.151167,0.300149,100
135,0.016559,0.000000,0.000000,0.001507,0.150527,0.299935,100
136,0.016488,0.000000,0.000000,0.001499,0.149889,0.299720,100
137,0.016419,0.000000,0.000000,0.001493,0.149254,0.299506,100
138,0.016350,0.000000,0.000000,0.001488,0.148621,0.299292,100
139,0.016283,0.000000,0.000000,0.001484,0.147992,0.299079,100
140,0.016217,0.000000,0.000000,0.001480,0.147365,0.298867,100
141,0.016150,0.000000,0.000000,0.001476,0.146740,0.298655,100
142,0.016079,0.000000,0.000000,0.001467,0.146119,0.298444,100
143,0.016009,0.000000,0.000000,0.001459,0.145500,0.298232,100
144,0.015944,0.000000,0.000000,0.001455,0.144884,0.298021,100
145,0.015878,0.000000,0.000000,0.001451,0.144270,0.297811,100
146,0.015812,0.000000,0.000000,0.001446,0.143659,0.297601,100
147,0.015745,0.000000,0.000000,0.001440,0.143051,0.297392,100
148,0.015679,0.000000,0.000000,0.001434,0.142445,0.297184,100
149,0.015613,0.000000,0.000000,0.001429,0.141842,0.296975,100
150,0.015547,0.000000,0.000000,0.001423,0.141241,0.296767,100
151,0.013763,0.000000,0.000000,0.001410,0.123536,0.297490,100
152,0.013705,0.000000,0.000000,0.001404,0.123011,0.297291,100
153,0.013647,0.000000,0.000000,0.001398,0.122488,0.297092,100
154,0.013591,0.000000,0.000000,0.001394,0.121967,0.296893,100
155,0.013533,0.000000,0.000000,0.001389,0.121448,0.296694,100
156,0.013478,0.000000,0.000000,0.001385,0.120932,0.296497,100
157,0.013419,0.000000,0.000000,0.001377,0.120418,0.296299,100
158,0.013364,0.000000,0.000000,0.001373,0.119906,0.296102,100
159,0.013311,0.000000,0.000000,0.001371,0.119396,0.295906,100
160,0.013254,0.000000,0.000000,0.001366,0.118888,0.295710,100
161,0.013198,0.000000,0.000000,0.001360,0.118383,0.295514,100
162,0.013142,0.000000,0.000000,0.001354,0.117880,0.295319,100
163,0.013088,0.000000,0.000000,0.001350,0.117379,0.295124,100
164,0.013035,0.000000,0.000000,0.001347,0.116880,0.294929,100
165,0.012979,0.000000,0.000000,0.001341,0.116383,0.294736,100
166,0.012926,0.000000,0.000000,0.001337,0.115889,0.294542,100
167,0.012871,0.000000,0.000000,0.001331,0.115396,0.294349,100
168,0.012818,0.000000,0.000000,0.001328,0.114906,0.294157,100
169,0.012765,0.000000,0.000000,0.001324,0.114417,0.293965,100
170,0.012709,0.000000,0.000000,0.001316,0.113931,0.293773,100
171,0.012657,0.000000,0.000000,0.001312,0.113447,0.293582,100
172,0.012605,0.000000,0.000000,0.001308,0.112965,0.293391,100
173,0.012553,0.000000,0.000000,0.001305,0.112485,0.293201,100
174,0.012500,0.000000,0.000000,0.001299,0.112007,0.293011,100
175,0.012448,0.000000,0.000000,0.001295,0.111532,0.292822,100
176,0.012397,0.000000,0.000000,0.001291,0.111058,0.292632,100
177,0.012344,0.000000,0.000000,0.001286,0.110586,0.292444,100
178,0.012293,0.000000,0.000000,0.001282,0.110117,0.292256,100
179,0.012243,0.000000,0.000000,0.001278,0.109649,0.292068,100
180,0.012189,0.000000,0.000000,0.001270,0.109183,0.291880,100
181,0.010837,0.000000,0.000000,0.001268,0.095685,0.286947,100
182,0.010792,0.000000,0.000000,0.001265,0.095276,0.286768,100
183,0.010746,0.000000,0.000000,0.001259,0.094870,0.286590,100
184,0.010702,0.000000,0.000000,0.001255,0.094465,0.286412,100
185,0.010657,0.000000,0.000000,0.001251,0.094062,0.286235,100
186,0.010615,0.000000,0.000000,0.001249,0.093660,0.286058,100
187,0.010570,0.000000,0.000000,0.001244,0.093261,0.285882,100
188,0.010526,0.000000,0.000000,0.001240,0.092863,0.285706,100
189,0.010481,0.000000,0.000000,0.001234,0.092467,0.285530,100
190,0.010439,0.000000,0.000000,0.001232,0.092072,0.285354,100
191,0.010396,0.000000,0.000000,0.001228,0.091679,0.285179,100
192,0.010353,0.000000,0.000000,0.001225,0.091288,0.285005,100
193,0.010309,0.000000,0.000000,0.001219,0.090899,0.284830,100
194,0.010268,0.000000,0.000000,0.001217,0.090511,0.284657,100
195,0.010222,0.000000,0.000000,0.001209,0.090125,0.284483,100
196,0.010183,0.000000,0.000000,0.001209,0.089741,0.284311,100
197,0.010141,0.000000,0.000000,0.001205,0.089358,0.284137,100
198,0.010095,0.000000,0.000000,0.001198,0.088977,0.283965,100
199,0.010054,0.000000,0.000000,0.001194,0.088597,0.283794,100
200,0.010014,0.000000,0.000000,0.001192,0.088219,0.283622,100
201,0.009973,0.000000,0.000000,0.001188,0.087843,0.283451,100
202,0.009933,0.000000,0.000000,0.001186,0.087468,0.283280,100
203,0.009892,0.000000,0.000000,0.001183,0.087095,0.283110,100
204,0.009851,0.000000,0.000000,0.001179,0.086724,0.282940,100
205,0.009810,0.000000,0.000000,0.001175,0.086354,0.282770,100
206,0.009766,0.000000,0.000000,0.001167,0.085986,0.282601,100
207,0.009729,0.000000,0.000000,0.001167,0.085619,0.282432,100
208,0.009689,0.000000,0.000000,0.001163,0.085254,0.282264,100
209,0.009649,0.000000,0.000000,0.001160,0.084891,0.282096,100
210,0.009609,0.000000,0.000000,0.001156,0.084529,0.281928,100
211,0.009127,0.000000,0.000000,0.001041,0.080857,0.275108,100
212,0.009089,0.000000,0.000000,0.001038,0.080514,0.274950,100
213,0.009051,0.000000,0.000000,0.001034,0.080172,0.274792,100
214,0.009017,0.000000,0.000000,0.001034,0.079832,0.274635,100
215,0.008977,0.000000,0.000000,0.001028,0.079493,0.274478,100
216,0.008942,0.000000,0.000000,0.001026,0.079156,0.274322,100
217,0.008902,0.000000,0.000000,0.001020,0.078820,0.274165,100
218,0.008867,0.000000,0.000000,0.001019,0.078486,0.274010,100
219,0.008830,0.000000,0.000000,0.001015,0.078153,0.273854,100
220,0.008793,0.000000,0.000000,0.001011,0.077821,0.273699,100
221,0.008756,0.000000,0.000000,0.001007,0.077491,0.273544,100
222,0.008723,0.000000,0.000000,0.001007,0.077162,0.273390,100
223,0.008687,0.000000,0.000000,0.001003,0.076835,0.273236,100
224,0.008650,0.000000,0.000000,0.000999,0.076509,0.273082,100
225,0.008614,0.000000,0.000000,0.000996,0.076184,0.272929,100
226,0.008582,0.000000,0.000000,0.000996,0.075861,0.272775,100
227,0.008546,0.000000,0.000000,0.000992,0.075539,0.272623,100
228,0.008510,0.000000,0.000000,0.000988,0.075219,0.272471,100
229,0.008476,0.000000,0.000000,0.000986,0.074900,0.272319,100
230,0.008440,0.000000,0.000000,0.000982,0.074582,0.272167,100
231,0.008405,0.000000,0.000000,0.000978,0.074266,0.272016,100
232,0.008372,0.000000,0.000000,0.000977,0.073951,0.271864,100
233,0.008338,0.000000,0.000000,0.000975,0.073637,0.271714,100
234,0.008301,0.000000,0.000000,0.000969,0.073325,0.271563,100
235,0.008270,0.000000,0.000000,0.000969,0.073014,0.271414,100
236,0.008234,0.000000,0.000000,0.000963,0.072704,0.271263,100
237,0.008203,0.000000,0.000000,0.000963,0.072396,0.271114,100
238,0.008168,0.000000,0.000000,0.000959,0.072089,0.270965,100
239,0.008136,0.000000,0.000000,0.000957,0.071783,0.270816,100
240,0.008100,0.000000,0.000000,0.000952,0.071479,0.270668,100
241,0.007054,0.000000,0.000000,0.000872,0.061821,0.256668,100
242,0.007026,0.000000,0.000000,0.000870,0.061559,0.256533,100
243,0.006996,0.000000,0.000000,0.000866,0.061298,0.256399,100
244,0.006968,0.000000,0.000000,0.000864,0.061038,0.256265,100
245,0.006940,0.000000,0.000000,0.000862,0.060779,0.256131,100
246,0.006912,0.000000,0.000000,0.000860,0.060521,0.255998,100
247,0.006885,0.000000,0.000000,0.000858,0.060265,0.255865,100
248,0.006855,0.000000,0.000000,0.000854,0.060009,0.255732,100
249,0.006828,0.000000,0.000000,0.000853,0.059755,0.255599,100
250,0.006801,0.000000,0.000000,0.000851,0.059501,0.255467,100
251,0.006772,0.000000,0.000000,0.000847,0.059249,0.255335,100
252,0.006745,0.000000,0.000000,0.000845,0.058998,0.255203,100
253,0.006716,0.000000,0.000000,0.000841,0.058748,0.255071,100
254,0.006689,0.000000,0.000000,0.000839,0.058498,0.254940,100
255,0.006664,0.000000,0.000000,0.000839,0.058250,0.254809,100
256,0.006636,0.000000,0.000000,0.000835,0.058004,0.254679,100
257,0.006609,0.000000,0.000000,0.000834,0.057758,0.254549,100
258,0.006583,0.000000,0.000000,0.000832,0.057513,0.254419,100
259,0.006557,0.000000,0.000000,0.000830,0.057269,0.254289,100
260,0.006527,0.000000,0.000000,0.000824,0.057026,0.254159,100
261,0.006502,0.000000,0.000000,0.000824,0.056784,0.254030,100
262,0.006478,0.000000,0.000000,0.000824,0.056544,0.253901,100
263,0.006451,0.000000,0.000000,0.000820,0.056304,0.253772,100
264,0.006425,0.000000,0.000000,0.000818,0.056065,0.253644,100
265,0.006399,0.000000,0.000000,0.000816,0.055828,0.253516,100
266,0.006372,0.000000,0.000000,0.000813,0.055591,0.253388,100
267,0.006346,0.000000,0.000000,0.000811,0.055355,0.253260,100
268,0.006321,0.000000,0.000000,0.000809,0.055121,0.253133,100
269,0.006297,0.000000,0.000000,0.000809,0.054887,0.253006,100
270,0.006272,0.000000,0.000000,0.000807,0.054654,0.252879,100
271,0.005696,0.000000,0.000000,0.000790,0.049064,0.253261,100
272,0.005671,0.000000,0.000000,0.000786,0.048856,0.253140,100
273,0.005651,0.000000,0.000000,0.000786,0.048648,0.253018,100
274,0.005626,0.000000,0.000000,0.000782,0.048441,0.252898,100
275,0.005606,0.000000,0.000000,0.000782,0.048236,0.252777,100
276,0.005581,0.000000,0.000000,0.000778,0.048031,0.252657,100
277,0.005557,0.000000,0.000000,0.000774,0.047826,0.252537,100
278,0.005537,0.000000,0.000000,0.000774,0.047623,0.252417,100
279,0.005515,0.000000,0.000000,0.000772,0.047421,0.252297,100
280,0.005492,0.000000,0.000000,0.000771,0.047219,0.252178,100
281,0.005472,0.000000,0.000000,0.000771,0.047019,0.252059,100
282,0.005449,0.000000,0.000000,0.000767,0.046819,0.251940,100
283,0.005427,0.000000,0.000000,0.000765,0.046620,0.251821,100
284,0.005403,0.000000,0.000000,0.000761,0.046422,0.251703,100
285,0.005382,0.000000,0.000000,0.000759,0.046224,0.251585,100
286,0.005362,0.000000,0.000000,0.000759,0.046028,0.251467,100
287,0.005339,0.000000,0.000000,0.000755,0.045832,0.251349,100
288,0.005319,0.000000,0.000000,0.000755,0.045637,0.251232,100
289,0.005298,0.000000,0.000000,0.000753,0.045443,0.251115,100
290,0.005273,0.000000,0.000000,0.000748,0.045250,0.250998,100
291,0.005253,0.000000,0.000000,0.000748,0.045058,0.250881,100
292,0.005234,0.000000,0.000000,0.000748,0.044867,0.250765,100
293,0.005211,0.000000,0.000000,0.000744,0.044676,0.250649,100
294,0.005192,0.000000,0.000000,0.000744,0.044486,0.250533,100
295,0.005172,0.000000,0.000000,0.000742,0.044297,0.250418,100
296,0.005149,0.000000,0.000000,0.000738,0.044109,0.250302,100
297,0.005128,0.000000,0.000000,0.000736,0.043921,0.250187,100
298,0.005110,0.000000,0.000000,0.000736,0.043734,0.250072,100
299,0.005089,0.000000,0.000000,0.000734,0.043549,0.249957,100
300,0.005069,0.000000,0.000000,0.000732,0.043364,0.249844,100
301,0.004695,0.000000,0.000000,0.000690,0.040043,0.248249,100
302,0.004678,0.000000,0.000000,0.000690,0.039872,0.248137,100
303,0.004661,0.000000,0.000000,0.000690,0.039703,0.248025,100
304,0.004638,0.000000,0.000000,0.000685,0.039534,0.247913,100
305,0.004621,0.000000,0.000000,0.000685,0.039367,0.247801,100
306,0.004603,0.000000,0.000000,0.000683,0.039199,0.247689,100
307,0.004584,0.000000,0.000000,0.000681,0.039033,0.247578,100
308,0.004566,0.000000,0.000000,0.000679,0.038867,0.247467,100
309,0.004549,0.000000,0.000000,0.000679,0.038702,0.247356,100
310,0.004529,0.000000,0.000000,0.000675,0.038538,0.247245,100
311,0.004513,0.000000,0.000000,0.000675,0.038374,0.247135,100
312,0.004494,0.000000,0.000000,0.000673,0.038211,0.247025,100
313,0.004476,0.000000,0.000000,0.000671,0.038049,0.246915,100
314,0.004460,0.000000,0.000000,0.000671,0.037887,0.246805,100
315,0.004442,0.000000,0.000000,0.000669,0.037726,0.246696,100
316,0.004424,0.000000,0.000000,0.000668,0.037566,0.246586,100
317,0.004404,0.000000,0.000000,0.000664,0.037406,0.246477,100
318,0.004388,0.000000,0.000000,0.000664,0.037247,0.246368,100
319,0.004373,0.000000,0.000000,0.000664,0.037089,0.246260,100
320,0.004355,0.000000,0.000000,0.000662,0.036932,0.246151,100
321,0.004334,0.000000,0.000000,0.000656,0.036775,0.246043,100
322,0.004318,0.000000,0.000000,0.000656,0.036618,0.245935,100
323,0.004301,0.000000,0.000000,0.000654,0.036463,0.245828,100
324,0.004285,0.000000,0.000000,0.000654,0.036308,0.245720,100
325,0.004268,0.000000,0.000000,0.000652,0.036154,0.245613,100
326,0.004250,0.000000,0.000000,0.000650,0.036000,0.245506,100
327,0.004233,0.000000,0.000000,0.000648,0.035847,0.245399,100
328,0.004216,0.000000,0.000000,0.000647,0.035695,0.245292,100
329,0.004199,0.000000,0.000000,0.000645,0.035543,0.245186,100
330,0.004184,0.000000,0.000000,0.000645,0.035392,0.245080,100
331,0.003738,0.000000,0.000000,0.000643,0.030956,0.235513,100
332,0.003721,0.000000,0.000000,0.000639,0.030824,0.235400,100
333,0.003708,0.000000,0.000000,0.000639,0.030693,0.235287,100
334,0.003695,0.000000,0.000000,0.000639,0.030562,0.235175,100
335,0.003680,0.000000,0.000000,0.000637,0.030431,0.235062,100
336,0.003665,0.000000,0.000000,0.000635,0.030301,0.234950,100
337,0.003650,0.000000,0.000000,0.000633,0.030172,0.234838,100
338,0.003638,0.000000,0.000000,0.000633,0.030043,0.234726,100
339,0.003623,0.000000,0.000000,0.000631,0.029915,0.234614,100
340,0.003608,0.000000,0.000000,0.000629,0.029787,0.234501,100
341,0.003595,0.000000,0.000000,0.000629,0.029660,0.234390,100
342,0.003581,0.000000,0.000000,0.000628,0.029534,0.234278,100
343,0.003566,0.000000,0.000000,0.000626,0.029407,0.234166,100
344,0.003552,0.000000,0.000000,0.000624,0.029282,0.234055,100
345,0.003539,0.000000,0.000000,0.000624,0.029157,0.233944,100
346,0.003527,0.000000,0.000000,0.000624,0.029032,0.233833,100
347,0.003509,0.000000,0.000000,0.000618,0.028909,0.233720,100
348,0.003496,0.000000,0.000000,0.000618,0.028785,0.233610,100
349,0.003484,0.000000,0.000000,0.000618,0.028662,0.233499,100
350,0.003472,0.000000,0.000000,0.000618,0.028540,0.233388,100
351,0.003458,0.000000,0.000000,0.000616,0.028418,0.233277,100
352,0.003442,0.000000,0.000000,0.000612,0.028297,0.233166,100
353,0.003428,0.000000,0.000000,0.000610,0.028176,0.233056,100
354,0.003414,0.000000,0.000000,0.000608,0.028056,0.232945,100
355,0.003400,0.000000,0.000000,0.000607,0.027936,0.232834,100
356,0.003388,0.000000,0.000000,0.000607,0.027817,0.232724,100
357,0.003376,0.000000,0.000000,0.000607,0.027698,0.232613,100
358,0.003363,0.000000,0.000000,0.000605,0.027580,0.232504,100
359,0.003349,0.000000,0.000000,0.000603,0.027462,0.232393,100
360,0.003337,0.000000,0.000000,0.000603,0.027345,0.232282,100
361,0.002979,0.000000,0.000000,0.000523,0.024564,0.237771,100
362,0.002967,0.000000,0.000000,0.000521,0.024460,0.237678,100
363,0.002956,0.000000,0.000000,0.000521,0.024356,0.237586,100
364,0.002946,0.000000,0.000000,0.000521,0.024252,0.237495,100
365,0.002936,0.000000,0.000000,0.000521,0.024149,0.237403,100
366,0.002922,0.000000,0.000000,0.000517,0.024047,0.237312,100
367,0.002909,0.000000,0.000000,0.000515,0.023944,0.237220,100
368,0.002899,0.000000,0.000000,0.000515,0.023843,0.237129,100
369,0.002889,0.000000,0.000000,0.000515,0.023741,0.237038,100
370,0.002879,0.000000,0.000000,0.000515,0.023640,0.236948,100
371,0.002869,0.000000,0.000000,0.000515,0.023540,0.236857,100
372,0.002857,0.000000,0.000000,0.000513,0.023440,0.236766,100
373,0.002845,0.000000,0.000000,0.000511,0.023340,0.236676,100
374,0.002833,0.000000,0.000000,0.000509,0.023241,0.236586,100
375,0.002822,0.000000,0.000000,0.000507,0.023142,0.236497,100
376,0.002812,0.000000,0.000000,0.000507,0.023044,0.236407,100
377,0.002802,0.000000,0.000000,0.000507,0.022946,0.236317,100
378,0.002792,0.000000,0.000000,0.000507,0.022849,0.236227,100
379,0.002782,0.000000,0.000000,0.000507,0.022751,0.236138,100
380,0.002767,0.000000,0.000000,0.000502,0.022655,0.236050,100
381,0.002757,0.000000,0.000000,0.000502,0.022558,0.235961,100
382,0.002746,0.000000,0.000000,0.000500,0.022463,0.235872,100
383,0.002736,0.000000,0.000000,0.000500,0.022367,0.235783,100
384,0.002727,0.000000,0.000000,0.000500,0.022272,0.235695,100
